devittes,sog,faceoff_win_rate,on_keeper_sog_faced,expected_goals_allowed,player,faceoffs_taken,usage_adjusted_EGA,EGA_per_game,shooting_pct,EGA,excess_saves,games_appeared_in,share_of_team_assists,save_pct,turnover_rate,faceoff_EGA,faceoff_wins,team_play_shares,penalties,caused_turnovers,excess_saves_per_sog,goals_allowed,excess_goals_scored,team_ID,assists,goals,offensive_EGA,excess_goals_per_shot,sog_faced,ID,turnovers,team_listed_role,shots_faced,defensive_EGA,faceoff_losses,weighted_team_play_shares,expected_goals_scored,on_keeper_rate_faced,sog_rate,seasons_played,sog_rate_faced,gbs,shots
-1.0,0.0,,,,Shea Keethler,5.0,4.46703,0.370132,,0.740263,,2.0,0.0,,0.494415,0.905611,3,0.00414293,0.0,0.0,,,,3,0.0,0.0,-0.165348,,,20711,1.0,M,,0.0,2,0.00267229,,,,1.0,,2.0,0.0
0.0,0.0,,,,Jack Schirtzer,0.0,15.9643,0.165348,,0.165348,,1.0,0.0,,0.0,0.0,0,0.000517866,0.0,1.0,,,,3,0.0,0.0,0.0,,,20712,0.0,D,,0.165348,0,0.000562588,,,,1.0,,0.0,0.0
,,,,,Jake Smith,,,,,,,,,,,,,,,,,,,3,,,,,,1533,,M,,,,,,,,4.0,,,
0.0,0.0,,,,Joshua Coffman,0.0,17.1514,0.355286,,0.355286,,1.0,0.0,,0.0,0.0,0,0.00103573,0.0,1.0,,,,3,0.0,0.0,0.0,,,1524,0.0,M,,0.355286,0,0.00126582,,,,4.0,,1.0,0.0
-7.0,0.0,,212.0,88.8566,Logan McNaney,0.0,-0.018721,-0.0302484,,-0.362981,-6.14341,12.0,0.0,0.5519,0.333117,0.0,0,0.0807872,0.0,3.0,-0.0289783,95.0,,3,0.0,0.0,-1.163,,225.0,1517,7.0,G,225.0,0.822767,0,0.0277637,,,,3.0,0.6579,18.0,0.0
0.0,0.0,,,,Jackson Marshall,0.0,18.3385,0.189938,,0.189938,,1.0,0.0,,0.0,0.0,0,0.000517866,0.0,0.0,,,,3,0.0,0.0,0.0,,,16169,0.0,G,,0.189938,0,0.000703235,,,,2.0,,1.0,0.0
,,,,,Kelan Duff,,,,,,,,,,,,,,,,,,,3,,,,,,16160,,D,,,,,,,,2.0,,,
0.0,0.0,,,,Alex Wicks,0.0,4.49984,0.326244,,1.30498,,4.0,0.0,,0.0,0.379876,0,0.00362506,0.0,1.0,,,,3,0.0,0.0,0.0,,,16161,0.0,M,,0.9251,0,0.004782,,,,2.0,,6.0,0.0
-1.0,1.0,,,,Geordy Holmes,0.0,0.799503,0.0248422,0.0,0.0496843,,2.0,0.0,,0.757572,0.0,0,0.0015536,0.0,0.0,,,-0.89963,3,0.0,0.0,0.0496843,-0.449815,,20713,1.0,M,,0.0,0,0.00174402,0.89963,,0.5,1.0,,0.0,2.0
3.0,3.0,,,,Kevin Tucker,0.0,9.64168,0.599172,0.333333,2.39669,,4.0,0.0151515,,0.0,0.0,0,0.0031072,0.0,0.0,,,-0.59136,3,2.0,1.0,2.20675,-0.19712,,20714,0.0,M,,0.189938,0,0.00472574,1.59136,,1.0,1.0,,1.0,3.0
