status,league,pregame_home_wp,away_ID,traversals_70_30,tension_game_score,home_ID,elo_transfer,home_score,game_date,away_score,ID
completedFromNCAA,NCAA D1 Men,0.383252,9,0,133.0,44,20.056,15,2022-03-19,11,10445
completedFromNCAA,NCAA D1 Men,0.809778,85,3,60.0,24,1.585,12,2022-02-12,11,10446
completedFromNCAA,NCAA D1 Men,0.567177,48,0,77.0,85,9.651,6,2022-04-09,3,10447
completedFromNCAA,NCAA D1 Men,0.350521,85,1,108.0,70,22.737,14,2022-04-16,11,10448
completedFromNCAA,NCAA D1 Men,0.437458,85,0,62.0,63,19.597,8,2022-04-23,10,10449
scheduled,NCAA D1 Men,0.808883,17,,,85,,,2022-04-30,,10450
completedFromNCAA,NCAA D1 Women,0.109812,94,1,175.0,147,54.635,8,2022-02-12,15,10451
completedFromNCAA,NCAA D1 Women,0.822307,97,2,57.0,147,23.204,9,2022-02-16,10,10452
completedFromNCAA,NCAA D1 Women,0.560891,89,1,107.0,147,20.972,13,2022-02-19,7,10453
completedFromNCAA,NCAA D1 Women,0.6476,138,0,131.0,147,14.747,11,2022-02-26,6,10454
completedFromNCAA,NCAA D1 Women,0.233259,147,0,149.0,142,68.984,4,2022-03-04,15,10455
completedFromNCAA,NCAA D1 Women,0.675091,143,0,133.0,147,65.636,5,2022-03-13,12,10456
completedFromNCAA,NCAA D1 Women,0.35572,117,0,158.0,147,24.744,13,2022-03-16,10,10457
completedFromNCAA,NCAA D1 Women,0.357553,147,0,139.0,99,31.699,14,2022-03-20,16,10458
completedFromNCAA,NCAA D1 Women,0.870216,152,1,121.0,147,5.108,14,2022-03-30,8,10459
completedFromNCAA,NCAA D1 Women,0.21747,147,1,148.0,149,57.402,10,2022-04-02,17,10460
completedFromNCAA,NCAA D1 Women,0.958994,150,1,114.0,147,2.75,18,2022-04-09,2,10461
completedFromNCAA,NCAA D1 Women,0.946188,111,1,136.0,147,3.019,22,2022-04-13,3,10462
completedFromNCAA,NCAA D1 Women,0.0102294,147,1,153.0,153,57.938,9,2022-04-16,21,10463
completedFromLiveStats,NCAA D1 Women,0.993177,151,3,66.0,147,0.206,14,2022-04-23,11,10464
scheduled,NCAA D1 Women,0.251484,147,,,148,,,2022-04-30,,10465
