devittes,sog,faceoff_win_rate,on_keeper_sog_faced,expected_goals_allowed,player,faceoffs_taken,usage_adjusted_EGA,EGA_per_game,shooting_pct,EGA,excess_saves,games_appeared_in,share_of_team_assists,save_pct,turnover_rate,faceoff_EGA,faceoff_wins,team_play_shares,penalties,caused_turnovers,excess_saves_per_sog,goals_allowed,excess_goals_scored,team_ID,assists,goals,offensive_EGA,excess_goals_per_shot,sog_faced,ID,turnovers,team_listed_role,shots_faced,defensive_EGA,faceoff_losses,weighted_team_play_shares,expected_goals_scored,on_keeper_rate_faced,sog_rate,seasons_played,sog_rate_faced,gbs,shots
0.0,0.0,,6.0,1.14147,Colin Miller,0.0,6.29636,0.158732,,0.158732,-0.858528,1.0,0.0,0.3333,0.0,0.0,0,0.0012605,0.0,0.0,-0.143088,4.0,,3,0.0,0.0,0.0,,6.0,16158,0.0,G,8.0,0.163281,0,0.00105369,,,,1.0,0.75,1.0,0.0
,,,,,Jake Smith,,,,,,,,,,,,,,,,,,,3,,,,,,1533,,M,,,,,,,,4.0,,,
4.0,7.0,,,,Joshua Coffman,0.0,1.51586,0.649653,0.384615,9.7448,,15.0,0.0128205,,0.241627,2.84907,0,0.0214286,2.0,8.0,,,-0.317487,3,2.0,5.0,4.767,-0.0244221,,1524,3.0,M,,2.12873,0,0.0272128,5.31749,,0.538462,4.0,,23.0,13.0
-3.0,1.0,,474.0,144.89,Logan McNaney,0.0,0.158851,0.319038,1.0,5.10461,-9.11015,16.0,0.0,0.5285,0.21275,0.189938,0,0.10042,0.0,8.0,-0.0192197,215.0,0.402319,3,0.0,1.0,0.355522,0.402319,474.0,1517,4.0,G,769.0,4.63194,0,0.0412085,0.597681,,1.0,3.0,0.6164,42.0,1.0
,,,,,Jake Martellucci,,,,,,,,,,,,,,,,,,,3,,,,,,16159,,M,,,,,,,,1.0,,,
,,,,,Kelan Duff,,,,,,,,,,,,,,,,,,,3,,,,,,16160,,D,,,,,,,,2.0,,,
0.0,0.0,,,,Alex Wicks,0.0,11.3013,0.189938,,0.379876,,2.0,0.0,,0.0,0.189938,0,0.000840336,0.0,0.0,,,,3,0.0,0.0,0.0,,,16161,0.0,M,,0.189938,0,0.00114532,,,,2.0,,2.0,0.0
,,,,,Connor Whalen,,,,,,,,,,,,,,,,,,,3,,,,,,16162,,D,,,,,,,,2.0,,,
0.0,0.0,,2.0,0.764503,Chris Brandau,0.0,6.29636,0.158732,,0.158732,-0.235497,1.0,0.0,0.5,0.0,0.0,0,0.0012605,0.0,0.0,-0.117748,1.0,,3,0.0,0.0,0.0,,2.0,2309,0.0,G,2.0,0.163281,0,0.00105369,,,,3.0,1.0,1.0,0.0
-1.0,0.0,,,,Ajax Zappitello,0.0,2.99442,0.100653,,0.402611,,4.0,0.0,,1.0072,0.569814,0,0.00168067,0.0,0.0,,,,3,0.0,0.0,-0.167203,,,16163,1.0,D,,0.0,0,0.0021761,,,,2.0,,3.0,0.0
